piros,<img src="https://st4.depositphotos.com/1031174/38408/i/450/depositphotos_384085908-stock-photo-red-textured-concrete-wall-background.jpg"></img><br>red
kék,<img src="https://t3.ftcdn.net/jpg/01/91/78/32/360_F_191783282_0TVrx5VrvrkpDHSKdjjI87HkbXJy5TMw.jpg"></img><br>blue
zöld,<img src="https://t4.ftcdn.net/jpg/02/96/16/07/360_F_296160739_nedGneq7jEQxSpDpT3lNTzRhfT4JYTXB.jpg"></img><br>green
barna,<img src="https://media.istockphoto.com/id/1203375691/photo/worn-brown-marble-or-cracked-concrete-background.jpg?s=612x612&w=0&k=20&c=_FwX6aasJcbILI23MP6LsuSAZ2wd_iKeQzlAVPsDOgg="></img><br>brown
sárga,<img src="https://media.istockphoto.com/id/503308960/photo/yellow-watercolor-painting-background.jpg?s=612x612&w=0&k=20&c=mnmZdNIZ3FNbyzvTwGFS2WwI_dRADVEAyQ1MLIg0qbA="></img><br>yellow
narancssárga,<img src="https://media.istockphoto.com/id/157483801/photo/fiery-wall-texture.jpg?s=612x612&w=0&k=20&c=sVYvo5SYvu-UJcwtvHU2bjlX4JyCNkrShmq22wVS6lo="></img><br>orange
rózsaszín,<img src="https://cdn.pixabay.com/photo/2023/02/01/21/40/pink-7761356_1280.png"></img><br>pink
lila,<img src="https://t3.ftcdn.net/jpg/02/25/02/48/360_F_225024841_7b2gkqxIyskWsexHw19gIW9fro1iuOns.jpg"></img><br>purple
fehér,<img src="https://img.freepik.com/free-photo/white-fabric-texture-background-design-element_53876-107984.jpg?semt=ais_hybrid"></img><br>white
fekete,<img src="https://images.pexels.com/photos/2387793/pexels-photo-2387793.jpeg?cs=srgb&dl=pexels-adrien-olichon-1257089-2387793.jpg&fm=jpg"></img><br>black
